Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 0.004324 105.45  332.6
   0.01 0.004328 105.56  605.0
   0.02 0.004333 105.66  817.3
   0.03 0.004337 105.77  969.3
   0.04 0.004339 105.83 1060.8
   0.06 0.004342 105.90 1091.9
   0.07 0.004347 106.01 1062.6
   0.08 0.004349 106.07  972.6
   0.09 0.004350 106.08  821.9
   0.10 0.004353 106.16  610.6
   0.11 0.004355 106.22  338.7
   0.12 0.004357 106.27    6.0
   0.13 0.004361 106.36    5.6
   0.14 0.004364 106.43    5.4
   0.15 0.004369 106.54    5.4
   0.17 0.004372 106.63    5.6
   0.18 0.004375 106.69    5.7
   0.19 0.004376 106.72    5.7
   0.20 0.004380 106.82    5.9
   0.21 0.004385 106.94    6.3
   0.22 0.004389 107.05    6.5
   0.23 0.004393 107.14    6.8
   0.24 0.004394 107.17    6.9
   0.25 0.004399 107.29    6.9
   0.27 0.004404 107.39    7.0
   0.28 0.004406 107.46    7.0
   0.29 0.004408 107.51    7.0
   0.30 0.004412 107.60    7.1
   0.31 0.004417 107.71    7.2
   0.32 0.004418 107.75    6.8
   0.33 0.004422 107.84    6.6
   0.34 0.004424 107.90    6.4
   0.35 0.004428 107.99    6.4
   0.37 0.004433 108.11    6.6
   0.38 0.004436 108.19    6.5
   0.39 0.004439 108.26    6.6
   0.40 0.004443 108.37    6.8
   0.41 0.004447 108.45    6.9
   0.42 0.004450 108.53    6.9
   0.43 0.004453 108.61    7.0
   0.44 0.004456 108.68    7.1
   0.45 0.004458 108.71    6.9
   0.47 0.004460 108.76    6.6
   0.48 0.004464 108.87    6.3
   0.49 0.004469 108.98    6.2
   0.50 0.004471 109.04    6.2
   0.51 0.004472 109.05    5.9
   0.52 0.004474 109.12    5.7
   0.53 0.004478 109.21    5.6
   0.54 0.004482 109.31    5.7
   0.55 0.004485 109.39    5.8
   0.57 0.004488 109.46    5.9
   0.58 0.004492 109.55    6.1
   0.59 0.004495 109.62    6.2
   0.60 0.004493 109.58    5.8
   0.61 0.004495 109.62    5.4
   0.62 0.004498 109.70    5.3
   0.63 0.004504 109.85    5.5
   0.64 0.004505 109.87    5.3
   0.65 0.004507 109.93    5.0
   0.67 0.004510 109.99    4.9
   0.68 0.004511 110.02    4.7
   0.69 0.004513 110.08    4.6
   0.70 0.004516 110.13    4.6
   0.71 0.004517 110.16    4.6
   0.72 0.004520 110.22    4.7
   0.73 0.004522 110.29    4.6
   0.74 0.004527 110.39    4.5
   0.75 0.004530 110.47    4.5
   0.77 0.004533 110.54    4.8
   0.78 0.004535 110.61    5.1
   0.79 0.004536 110.61    5.1
   0.80 0.004537 110.66    5.1
   0.81 0.004538 110.68    5.0
   0.82 0.004541 110.75    4.8
   0.83 0.004544 110.83    4.8
   0.84 0.004547 110.90    4.6
   0.85 0.004551 110.98    4.6
   0.87 0.004554 111.07    4.6
   0.88 0.004556 111.12    4.7
   0.89 0.004557 111.13    4.8
   0.90 0.004559 111.20    4.9
   0.91 0.004561 111.24    5.0
   0.92 0.004564 111.32    5.1
   0.93 0.004566 111.35    5.0
   0.94 0.004567 111.39    4.7
   0.95 0.004570 111.47    4.5
   0.97 0.004574 111.56    4.5
   0.98 0.004578 111.65    4.6
   0.99 0.004581 111.73    4.8
   1.00 0.004583 111.77    5.1
   1.01 0.004584 111.79    5.2
   1.02 0.004587 111.87    5.2
   1.03 0.004590 111.94    5.3
   1.04 0.004594 112.03    5.4
   1.06 0.004596 112.08    5.5
   1.07 0.004597 112.11    5.4
   1.08 0.004600 112.19    5.2
   1.09 0.004603 112.27    5.1
   1.10 0.004607 112.35    5.1
   1.11 0.004609 112.41    5.2
   1.12 0.004609 112.39    5.1
   1.13 0.004610 112.43    4.9
   1.15 0.004612 112.47    4.6
   1.16 0.004608 112.38    3.8
   1.17 0.004612 112.47    3.3
   1.18 0.004615 112.56    3.1
   1.19 0.004618 112.62    3.0
   1.20 0.004619 112.66    2.9
   1.21 0.004622 112.72    2.9
   1.22 0.004622 112.73    2.9
   1.23 0.004624 112.78    3.1
   1.24 0.004627 112.84    3.5
   1.26 0.004629 112.89    3.8
   1.27 0.004630 112.92    3.9
   1.28 0.004634 113.01    4.3
   1.29 0.004635 113.04    4.0
   1.30 0.004635 113.05    3.8
   1.31 0.004637 113.10    3.7
   1.32 0.004640 113.16    3.7
   1.33 0.004641 113.19    3.7
   1.35 0.004645 113.28    3.9
   1.36 0.004648 113.35    4.0
   1.37 0.004649 113.38    4.0
   1.38 0.004652 113.45    4.1
   1.39 0.004654 113.51    4.3
   1.40 0.004657 113.57    4.4
   1.41 0.004659 113.63    4.6
   1.42 0.004661 113.68    4.8
   1.44 0.004663 113.73    4.8
   1.45 0.004666 113.80    4.8
   1.46 0.004666 113.80    4.6
   1.47 0.004667 113.83    4.3
