Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 -.000319  -7.79  -24.6
   0.01 0.000164   4.01   -7.5
   0.02 -.000000  -0.00   -5.3
   0.03 -.000000  -0.01   -3.2
   0.04 -.000009  -0.21   -1.6
   0.06 -.000006  -0.16    0.2
   0.07 -.000164  -4.01  -10.1
   0.08 0.000105   2.57    2.7
   0.09 0.000018   0.43    7.3
   0.10 0.003102  75.64  248.8
   0.11 -.003511 -85.59  -61.5
   0.12 -.003502 -85.38 -322.2
   0.13 -.003348 -81.63 -551.0
   0.15 -.003514 -85.68 -706.3
   0.16 -.000022  -0.55 -556.7
   0.17 -.000051  -1.25 -409.0
   0.18 0.000020   0.48 -255.8
   0.19 -.000084  -2.04 -110.8
   0.20 -.000120  -2.92   18.2
   0.21 0.000118   2.87  189.3
   0.22 -.000101  -2.46  335.4
   0.23 -.000002  -0.04  771.2
   0.25 0.000041   1.01  652.7
   0.26 -.000049  -1.18  478.5
   0.27 -.000018  -0.43  272.3
   0.28 -.000022  -0.53    4.2
   0.29 -.000030  -0.74    3.8
   0.30 -.000020  -0.48    1.8
   0.31 -.000009  -0.23    6.6
   0.32 -.000012  -0.30    2.1
   0.33 -.000023  -0.55   -7.4
   0.34 -.000024  -0.58    3.2
   0.36 -.000051  -1.24   -6.1
   0.37 0.000014   0.33   -2.2
   0.38 -.000014  -0.34    3.4
   0.39 -.000014  -0.34    1.5
   0.40 -.000007  -0.17    2.4
   0.41 -.000022  -0.53    1.8
   0.42 -.000008  -0.19    1.4
   0.43 -.000010  -0.24    1.5
   0.44 0.000012   0.28    4.0
   0.46 -.000018  -0.45    3.7
   0.47 -.000013  -0.33    2.9
   0.48 -.000019  -0.46    1.4
   0.49 -.000011  -0.26   -1.9
   0.50 -.000007  -0.17    0.4
   0.51 -.000018  -0.44   -0.5
   0.52 -.000018  -0.44   -1.2
   0.53 -.000006  -0.14   -0.3
   0.54 -.000020  -0.49   -1.9
   0.56 -.000018  -0.45   -2.2
   0.57 -.000010  -0.23   -1.7
   0.58 -.000017  -0.41    0.1
   0.59 -.000017  -0.41   -0.4
   0.60 -.000006  -0.15    0.3
