Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 -.003264 -79.57 -250.9
   0.01 -.003276 -79.87 -457.2
   0.02 -.003288 -80.17 -618.6
   0.03 -.003301 -80.47 -735.0
   0.04 -.003313 -80.76 -806.2
   0.06 -.003325 -81.06 -832.0
   0.07 -.003337 -81.36 -812.3
   0.08 -.003348 -81.63 -746.7
   0.09 -.003360 -81.92 -635.3
   0.10 -.003372 -82.20 -477.8
   0.11 -.003384 -82.49 -274.0
   0.12 -.003395 -82.77  -23.9
   0.13 -.003407 -83.05  -23.7
   0.14 -.003418 -83.33  -23.5
   0.16 -.003429 -83.60  -23.3
   0.17 -.003440 -83.86  -23.1
   0.18 -.003451 -84.13  -22.9
   0.19 -.003462 -84.39  -22.7
   0.20 -.003473 -84.66  -22.6
   0.21 -.003483 -84.92  -22.3
   0.22 -.003494 -85.19  -22.2
   0.23 -.003505 -85.44  -22.0
   0.24 -.003515 -85.70  -21.8
   0.26 -.003525 -85.95  -21.6
   0.27 -.003536 -86.21  -21.5
   0.28 -.003546 -86.46  -21.4
   0.29 -.003556 -86.70  -21.2
   0.30 -.003566 -86.95  -21.0
   0.31 -.003576 -87.19  -20.9
   0.32 -.003587 -87.44  -20.7
   0.33 -.003596 -87.67  -20.5
   0.34 -.003606 -87.92  -20.3
   0.36 -.003616 -88.16  -20.2
   0.37 -.003626 -88.39  -20.1
   0.38 -.003635 -88.62  -19.9
   0.39 -.003645 -88.86  -19.8
   0.40 -.003654 -89.09  -19.7
   0.41 -.003664 -89.32  -19.5
   0.42 -.003674 -89.56  -19.4
   0.43 -.003682 -89.78  -19.3
   0.44 -.003692 -90.00  -19.1
   0.45 -.003701 -90.22  -19.0
   0.47 -.003710 -90.45  -18.8
   0.48 -.003718 -90.66  -18.7
   0.49 -.003728 -90.88  -18.5
   0.50 -.003736 -91.09  -18.4
   0.51 -.003745 -91.31  -18.2
   0.52 -.003754 -91.52  -18.1
   0.53 -.003763 -91.73  -17.9
   0.54 -.003771 -91.94  -17.8
   0.55 -.003780 -92.15  -17.7
   0.57 -.003788 -92.35  -17.5
   0.58 -.003797 -92.56  -17.4
   0.59 -.003805 -92.76  -17.3
   0.60 -.003813 -92.96  -17.2
   0.61 -.003821 -93.14  -17.0
   0.62 -.003828 -93.34  -16.8
   0.63 -.003837 -93.54  -16.6
   0.64 -.003844 -93.72  -16.4
   0.65 -.003852 -93.91  -16.2
