Datos generados por TERE.BAS el 06-14-2007
 t[min] T[§C] V[§C/min]
   0.00 0.001094  26.67   84.1
   0.02 0.001100  26.81  153.4
   0.03 0.001105  26.95  207.7
   0.04 0.001109  27.05  246.9
   0.05 0.001114  27.17  270.9
   0.06 0.001124  27.40  280.1
   0.07 0.001131  27.59  274.2
   0.08 0.001137  27.74  253.0
   0.09 0.001139  27.77  215.9
   0.11 0.001145  27.92  163.4
   0.12 0.001148  27.98   95.1
   0.13 0.001153  28.11   11.1
   0.14 0.001161  28.32   11.1
   0.15 0.001168  28.49   11.2
   0.16 0.001179  28.74   11.6
   0.17 0.001187  28.95   12.0
   0.18 0.001193  29.10   12.3
   0.19 0.001199  29.23   12.8
   0.20 0.001204  29.37   13.3
   0.22 0.001213  29.57   14.0
   0.23 0.001218  29.71   14.1
   0.24 0.001223  29.82   14.2
   0.25 0.001231  30.01   13.9
   0.26 0.001235  30.12   13.3
   0.27 0.001225  29.87   11.5
   0.28 0.001233  30.06   10.1
   0.29 0.001244  30.33    9.6
   0.30 0.001255  30.60    9.8
   0.32 0.001263  30.80   10.2
   0.33 0.001270  30.98   10.7
   0.34 0.001249  30.46    9.1
   0.35 0.001248  30.44    7.6
   0.36 0.001257  30.65    6.7
   0.37 0.001258  30.68    5.8
   0.38 0.001264  30.81    5.5
   0.39 0.001271  30.98    5.8
   0.40 0.001278  31.17    5.2
   0.42 0.001285  31.34    5.1
   0.43 0.001291  31.49    5.7
   0.44 0.001298  31.64    7.1
   0.45 0.001305  31.81    9.3
   0.46 0.001313  32.01   12.1
   0.47 0.001320  32.18   13.0
   0.48 0.001326  32.33   13.2
   0.49 0.001332  32.49   13.7
   0.50 0.001340  32.67   13.8
   0.52 0.001348  32.88   13.9
   0.53 0.001354  33.03   13.9
   0.54 0.001361  33.19   14.0
   0.55 0.001369  33.38   14.1
   0.56 0.001376  33.56   14.2
   0.57 0.001384  33.74   14.2
   0.58 0.001390  33.89   14.2
   0.59 0.001398  34.10   14.3
   0.60 0.001406  34.28   14.5
   0.62 0.001413  34.46   14.6
   0.63 0.001420  34.63   14.6
   0.64 0.001428  34.83   14.6
   0.65 0.001435  35.00   14.8
   0.66 0.001444  35.20   14.9
   0.67 0.001450  35.37   14.9
   0.68 0.001459  35.57   14.9
   0.69 0.001465  35.73   15.0
   0.70 0.001474  35.94   15.1
   0.71 0.001481  36.12   15.1
   0.73 0.001489  36.30   15.1
   0.74 0.001497  36.52   15.3
   0.75 0.001505  36.70   15.4
   0.76 0.001513  36.88   15.4
   0.77 0.001522  37.10   15.6
   0.78 0.001528  37.27   15.6
   0.79 0.001537  37.47   15.7
   0.80 0.001546  37.69   15.8
   0.82 0.001553  37.88   15.9
   0.83 0.001561  38.05   15.9
   0.84 0.001570  38.27   16.0
   0.85 0.001577  38.46   16.0
   0.86 0.001585  38.65   16.0
   0.87 0.001595  38.88   16.2
   0.88 0.001602  39.07   16.2
   0.89 0.001610  39.25   16.2
   0.90 0.001619  39.49   16.4
   0.92 0.001627  39.67   16.4
   0.93 0.001636  39.90   16.4
   0.94 0.001644  40.09   16.6
   0.95 0.001652  40.28   16.6
   0.96 0.001662  40.52   16.7
   0.97 0.001670  40.72   16.8
   0.98 0.001678  40.92   16.8
   0.99 0.001688  41.15   16.9
   1.00 0.001696  41.36   17.1
   1.02 0.001704  41.55   17.1
   1.03 0.001714  41.78   17.1
   1.04 0.001721  41.96   17.2
   1.05 0.001731  42.21   17.2
   1.06 0.001740  42.42   17.3
   1.07 0.001747  42.60   17.3
   1.08 0.001757  42.85   17.3
   1.09 0.001765  43.05   17.4
   1.10 0.001775  43.27   17.5
   1.12 0.001784  43.51   17.5
   1.13 0.001792  43.69   17.6
   1.14 0.001802  43.93   17.7
   1.15 0.001810  44.14   17.7
   1.16 0.001819  44.36   17.8
   1.17 0.001829  44.59   17.8
   1.18 0.001838  44.81   17.9
   1.19 0.001848  45.05   18.1
   1.21 0.001855  45.25   18.0
   1.22 0.001865  45.49   18.1
   1.23 0.001875  45.72   18.2
   1.24 0.001884  45.94   18.3
   1.25 0.001893  46.17   18.4
   1.26 0.001902  46.39   18.4
   1.27 0.001912  46.62   18.5
   1.28 0.001921  46.84   18.5
   1.29 0.001930  47.05   18.4
   1.31 0.001939  47.29   18.4
   1.32 0.001949  47.54   18.5
   1.33 0.001959  47.77   18.6
   1.34 0.001968  47.99   18.6
   1.35 0.001977  48.21   18.6
   1.36 0.001987  48.45   18.7
   1.37 0.001996  48.68   18.8
   1.38 0.002006  48.92   18.8
   1.39 0.002016  49.15   18.9
   1.41 0.002025  49.38   19.0
   1.42 0.002034  49.61   19.0
   1.43 0.002044  49.85   19.0
   1.44 0.002054  50.09   19.0
   1.45 0.002063  50.31   19.1
   1.46 0.002074  50.56   19.2
   1.47 0.002084  50.81   19.3
   1.48 0.002093  51.04   19.3
   1.50 0.002103  51.28   19.4
   1.51 0.002113  51.52   19.5
   1.52 0.002122  51.75   19.5
   1.53 0.002132  52.00   19.6
   1.54 0.002142  52.24   19.6
   1.55 0.002152  52.48   19.6
   1.56 0.002163  52.73   19.7
   1.57 0.002172  52.97   19.7
   1.59 0.002182  53.21   19.7
   1.60 0.002192  53.46   19.7
   1.61 0.002201  53.68   19.7
   1.62 0.002212  53.93   19.8
   1.63 0.002222  54.18   19.8
   1.64 0.002231  54.40   19.8
   1.65 0.002242  54.67   19.8
   1.66 0.002252  54.91   19.8
   1.68 0.002262  55.15   19.9
   1.69 0.002272  55.40   19.9
   1.70 0.002282  55.65   20.0
   1.71 0.002291  55.87   20.0
   1.72 0.002302  56.14   20.0
   1.73 0.002313  56.39   20.2
   1.74 0.002322  56.63   20.1
   1.75 0.002333  56.89   20.2
   1.77 0.002343  57.13   20.3
   1.78 0.002353  57.37   20.2
   1.79 0.002363  57.63   20.3
   1.80 0.002374  57.88   20.3
   1.81 0.002383  58.11   20.3
   1.82 0.002394  58.38   20.4
   1.83 0.002404  58.63   20.4
   1.84 0.002414  58.86   20.3
   1.86 0.002425  59.13   20.3
   1.87 0.002435  59.37   20.4
   1.88 0.002444  59.60   20.3
   1.89 0.002456  59.88   20.4
   1.90 0.002466  60.12   20.5
   1.91 0.002476  60.37   20.4
   1.92 0.002487  60.64   20.5
   1.93 0.002497  60.89   20.6
   1.95 0.002507  61.14   20.7
   1.96 0.002518  61.41   20.8
   1.97 0.002527  61.63   20.8
   1.98 0.002539  61.92   20.8
   1.99 0.002549  62.17   20.9
   2.00 0.002559  62.41   20.9
   2.01 0.002570  62.68   20.9
   2.02 0.002580  62.92   20.9
   2.03 0.002591  63.19   20.9
   2.05 0.002601  63.44   20.9
   2.06 0.002611  63.68   20.8
   2.07 0.002623  63.97   20.9
   2.08 0.002633  64.20   20.9
   2.09 0.002643  64.44   20.9
   2.10 0.002654  64.73   20.9
   2.11 0.002664  64.96   20.9
   2.12 0.002674  65.20   20.9
   2.14 0.002685  65.48   20.9
   2.15 0.002695  65.72   20.8
   2.16 0.002705  65.98   20.8
   2.17 0.002717  66.25   20.8
   2.18 0.002726  66.48   20.8
   2.19 0.002738  66.78   20.9
   2.20 0.002748  67.00   20.9
   2.22 0.002759  67.27   21.0
   2.23 0.002770  67.55   21.1
   2.24 0.002780  67.78   21.1
   2.25 0.002791  68.05   21.2
   2.26 0.002802  68.32   21.2
   2.27 0.002811  68.56   21.2
   2.28 0.002822  68.82   21.2
   2.29 0.002832  69.06   21.1
   2.31 0.002843  69.32   21.1
   2.32 0.002854  69.59   21.0
   2.33 0.002863  69.81   20.9
   2.34 0.002874  70.09   20.9
   2.35 0.002885  70.35   20.9
   2.36 0.002894  70.57   20.8
   2.37 0.002905  70.85   20.8
   2.38 0.002915  71.09   20.7
   2.39 0.002926  71.35   20.8
   2.41 0.002936  71.60   20.8
   2.42 0.002946  71.84   20.7
   2.43 0.002956  72.09   20.7
   2.44 0.002967  72.36   20.7
   2.45 0.002976  72.57   20.6
   2.46 0.002987  72.84   20.5
   2.47 0.002997  73.08   20.5
   2.48 0.003006  73.31   20.4
   2.50 0.003016  73.56   20.2
   2.51 0.003027  73.83   20.3
   2.52 0.003036  74.04   20.1
   2.53 0.003047  74.31   20.1
   2.54 0.003058  74.57   20.2
   2.55 0.003067  74.79   20.1
   2.56 0.003079  75.08   20.2
   2.57 0.003089  75.32   20.4
   2.59 0.003098  75.56   20.4
   2.60 0.003110  75.85   20.6
   2.61 0.003120  76.09   20.7
   2.62 0.003131  76.35   20.8
   2.63 0.003142  76.62   20.9
   2.64 0.003152  76.86   21.0
   2.65 0.003163  77.15   21.1
   2.66 0.003175  77.42   21.3
   2.68 0.003184  77.65   21.3
   2.69 0.003196  77.94   21.4
   2.70 0.003207  78.21   21.6
   2.71 0.003217  78.44   21.6
   2.72 0.003229  78.74   21.6
   2.73 0.003239  79.00   21.7
   2.74 0.003250  79.26   21.7
   2.75 0.003262  79.56   21.8
   2.77 0.003273  79.81   21.9
   2.78 0.003285  80.11   22.0
   2.79 0.003296  80.37   22.1
   2.80 0.003307  80.64   22.3
   2.81 0.003320  80.96   22.4
   2.82 0.003330  81.20   22.5
   2.83 0.003341  81.48   22.6
   2.84 0.003353  81.78   22.6
   2.86 0.003363  82.02   22.7
   2.87 0.003376  82.32   22.7
   2.88 0.003387  82.61   22.7
   2.89 0.003398  82.86   22.7
   2.90 0.003410  83.16   22.7
   2.91 0.003422  83.45   22.8
   2.92 0.003433  83.71   22.8
   2.93 0.003446  84.04   22.9
   2.94 0.003457  84.30   23.1
   2.96 0.003467  84.56   23.1
   2.97 0.003480  84.87   23.1
   2.98 0.003491  85.12   23.2
   2.99 0.003503  85.44   23.2
   3.00 0.003515  85.73   23.3
   3.01 0.003526  85.99   23.3
   3.02 0.003539  86.31   23.3
   3.03 0.003550  86.57   23.4
   3.05 0.003562  86.86   23.4
   3.06 0.003574  87.16   23.4
   3.07 0.003585  87.43   23.5
   3.08 0.003597  87.73   23.6
   3.09 0.003610  88.04   23.6
   3.10 0.003620  88.29   23.6
   3.11 0.003633  88.61   23.6
   3.13 0.003645  88.88   23.6
   3.14 0.003656  89.17   23.6
   3.15 0.003669  89.46   23.6
   3.16 0.003681  89.78   23.8
   3.17 0.003692  90.04   23.7
   3.18 0.003705  90.35   23.8
   3.19 0.003717  90.65   23.9
   3.20 0.003728  90.91   23.8
   3.21 0.003740  91.22   23.8
