Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 0.003065  74.75  235.7
   0.01 0.003073  74.93  429.2
   0.02 0.003080  75.12  580.3
   0.03 0.003087  75.27  688.8
   0.04 0.003093  75.43  754.6
   0.06 0.003101  75.63  777.8
   0.07 0.003108  75.79  758.1
   0.08 0.003114  75.94  695.5
   0.09 0.003120  76.08  589.7
   0.10 0.003126  76.23  440.8
   0.11 0.003133  76.40  248.8
   0.12 0.003139  76.55   13.4
   0.13 0.003146  76.71   13.2
   0.14 0.003152  76.87   13.0
   0.16 0.003158  77.02   12.9
   0.17 0.003165  77.19   12.9
   0.18 0.003171  77.32   12.7
   0.19 0.003177  77.48   12.7
   0.20 0.003184  77.65   12.8
   0.21 0.003191  77.82   12.9
   0.22 0.003198  77.98   12.9
   0.23 0.003204  78.12   12.9
   0.24 0.003209  78.26   12.9
   0.26 0.003215  78.41   12.8
   0.27 0.003222  78.57   12.7
   0.28 0.003228  78.72   12.7
   0.29 0.003235  78.89   12.7
   0.30 0.003241  79.03   12.7
   0.31 0.003247  79.17   12.5
   0.32 0.003252  79.31   12.4
   0.33 0.003259  79.46   12.3
   0.34 0.003264  79.61   12.2
   0.36 0.003269  79.71   12.1
   0.37 0.003273  79.82   11.8
   0.38 0.003280  79.98   11.6
   0.39 0.003287  80.15   11.5
   0.40 0.003293  80.31   11.5
   0.41 0.003299  80.45   11.5
   0.42 0.003304  80.57   11.5
   0.43 0.003309  80.69   11.4
   0.44 0.003313  80.80   11.3
   0.45 0.003319  80.94   11.2
   0.47 0.003325  81.08   11.2
   0.48 0.003331  81.23   11.3
   0.49 0.003337  81.38   11.3
   0.50 0.003343  81.54   11.2
   0.51 0.003349  81.67   11.1
   0.52 0.003355  81.82   11.2
   0.53 0.003360  81.94   11.4
   0.54 0.003365  82.07   11.5
   0.55 0.003371  82.21   11.6
   0.57 0.003376  82.33   11.5
   0.58 0.003381  82.44   11.3
   0.59 0.003385  82.55   11.0
   0.60 0.003390  82.67   10.7
   0.61 0.003394  82.77   10.4
   0.62 0.003400  82.90   10.1
   0.63 0.003405  83.04   10.0
   0.64 0.003411  83.18    9.9
   0.66 0.003416  83.30   10.0
   0.67 0.003421  83.43   10.0
   0.68 0.003426  83.56   10.1
   0.69 0.003432  83.68   10.2
   0.70 0.003438  83.83   10.4
   0.71 0.003443  83.96   10.6
   0.72 0.003448  84.08   10.7
   0.73 0.003453  84.21   10.7
   0.74 0.003458  84.33   10.6
   0.76 0.003463  84.45   10.6
   0.77 0.003468  84.57   10.5
   0.78 0.003473  84.69   10.4
   0.79 0.003478  84.81   10.3
   0.80 0.003482  84.91   10.1
   0.81 0.003486  85.01    9.9
   0.82 0.003490  85.12    9.7
   0.83 0.003495  85.23    9.5
   0.84 0.003500  85.34    9.3
   0.86 0.003503  85.43    9.1
   0.87 0.003507  85.53    8.9
   0.88 0.003513  85.67    8.9
   0.89 0.003518  85.78    8.9
   0.90 0.003521  85.87    8.8
   0.91 0.003524  85.95    8.7
   0.92 0.003528  86.04    8.6
   0.93 0.003535  86.20    8.7
   0.94 0.003540  86.33    8.8
   0.96 0.003545  86.45    8.9
