Datos generados por TERE.BAS el 06-14-2007
 t[min] T[§C] V[§C/min]
   0.00 0.000689  16.80   53.0
   0.01 0.000689  16.80   96.4
   0.02 0.000688  16.79  130.0
   0.03 0.000689  16.79  154.1
   0.04 0.000688  16.79  168.5
   0.06 0.000688  16.79  173.3
   0.07 0.000689  16.79  168.5
   0.08 0.000688  16.79  154.0
   0.09 0.000688  16.79  129.9
   0.10 0.000689  16.79   96.2
   0.11 0.000688  16.78   52.9
   0.12 0.000688  16.78   -0.1
   0.13 0.000688  16.78   -0.1
   0.14 0.000688  16.78   -0.1
   0.16 0.000688  16.77   -0.1
   0.17 0.000688  16.77   -0.1
   0.18 0.000688  16.77   -0.1
   0.19 0.000688  16.77   -0.1
   0.20 0.000688  16.76   -0.2
   0.21 0.000688  16.76   -0.2
   0.22 0.000688  16.77   -0.2
   0.23 0.000687  16.76   -0.1
   0.24 0.000687  16.76   -0.1
   0.26 0.000688  16.76   -0.1
   0.27 0.000688  16.77   -0.1
   0.28 0.000690  16.82    0.1
   0.29 0.000691  16.86    0.4
   0.30 0.000726  17.69    3.2
   0.31 0.000753  18.37    7.7
   0.32 0.000767  18.69   12.3
   0.33 0.000765  18.65   15.6
   0.34 0.000766  18.68   17.9
   0.36 0.000779  18.99   20.1
   0.37 0.000802  19.56   22.8
   0.38 0.000834  20.34   26.4
   0.39 0.000944  23.01   36.3
   0.40 0.001016  24.77   48.2
   0.41 0.001279  31.19   76.0
   0.42 0.001741  42.46  131.2
   0.43 0.001807  44.07  179.9
   0.44 0.001953  47.63  227.3
   0.45 0.002192  53.46  277.5
   0.47 0.002352  57.35  319.8
   0.48 0.002515  61.34  352.7
   0.49 0.002920  71.21  393.3
   0.50 0.002832  69.06  399.4
   0.51 0.002890  70.48  384.5
   0.52 0.003007  73.33  359.8
   0.53 0.003126  76.24  321.9
   0.54 0.003362  81.99  296.6
   0.56 0.003447  84.06  290.7
   0.57 0.004511 110.02  348.8
   0.58 0.004560 111.22  386.1
   0.59 0.004596 112.08  411.5
   0.60 0.004697 114.54  425.4
   0.61 0.004748 115.79  425.4
   0.62 0.004792 116.87  434.4
   0.63 0.004829 117.77  412.0
   0.64 0.004861 118.55  369.4
   0.66 0.004890 119.27  312.2
   0.67 0.004916 119.90  241.4
   0.68 0.004943 120.56  169.1
   0.69 0.004968 121.16   84.3
   0.70 0.004992 121.74   76.9
   0.71 0.005018 122.39   69.2
   0.72 0.005041 122.95   60.1
   0.73 0.005068 123.61   56.0
   0.74 0.005093 124.22   53.3
   0.76 0.005114 124.73   51.4
   0.77 0.005132 125.17   49.8
   0.78 0.005157 125.77   48.7
   0.79 0.005178 126.29   47.7
   0.80 0.005199 126.79   46.7
   0.81 0.005218 127.25   45.6
   0.82 0.005239 127.78   44.6
   0.83 0.005257 128.21   43.3
   0.84 0.005274 128.62   42.0
   0.85 0.005293 129.09   40.8
   0.87 0.005309 129.48   39.7
   0.88 0.005320 129.76   38.4
   0.89 0.005313 129.57   35.2
   0.90 0.005326 129.90   31.9
   0.91 0.005343 130.32   29.5
   0.92 0.005361 130.76   27.8
   0.93 0.005377 131.15   26.6
   0.94 0.005387 131.40   25.4
   0.96 0.005399 131.67   24.6
   0.97 0.005386 131.36   22.3
   0.98 0.005405 131.82   21.1
   0.99 0.005419 132.17   20.9
   1.00 0.005434 132.52   21.6
   1.01 0.005446 132.83   22.5
   1.02 0.005446 132.82   20.9
   1.03 0.005457 133.10   19.6
   1.04 0.005474 133.50   19.3
   1.06 0.005489 133.88   20.0
   1.07 0.005499 134.11   21.1
   1.08 0.005505 134.27   21.8
   1.09 0.005339 130.21    9.2
   1.10 0.005351 130.52   -2.8
   1.11 0.005365 130.84  -11.6
   1.12 0.005379 131.19  -17.4
   1.13 0.005392 131.50  -20.3
   1.15 0.005404 131.80  -20.6
   1.16 0.005412 131.99  -19.7
   1.17 0.005419 132.17  -16.8
   1.18 0.005431 132.47  -10.8
   1.19 0.005444 132.78   -1.9
   1.20 0.005456 133.06    9.4
   1.21 0.005467 133.35   22.8
   1.22 0.005475 133.53   22.2
   1.23 0.005486 133.81   21.7
   1.25 0.005496 134.05   21.2
   1.26 0.005502 134.19   20.7
   1.27 0.005584 136.20   26.0
   1.28 0.005596 136.47   30.5
   1.29 0.005605 136.72   33.8
   1.30 0.005613 136.90   35.7
   1.31 0.005623 137.14   36.7
   1.32 0.005631 137.33   36.8
   1.33 0.005639 137.52   36.0
   1.35 0.005643 137.62   34.0
   1.36 0.005639 137.54   29.9
   1.37 0.005642 137.60   24.8
   1.38 0.005654 137.89   19.3
   1.39 0.005670 138.29   13.4
   1.40 0.005677 138.47   13.2
   1.41 0.005686 138.67   13.4
   1.42 0.005691 138.80   13.6
   1.44 0.005697 138.95   13.8
   1.45 0.005700 139.03   13.9
   1.46 0.005709 139.24   14.3
   1.47 0.005711 139.29   14.6
   1.48 0.005720 139.51   14.8
   1.49 0.005726 139.66   14.1
   1.50 0.005735 139.88   13.2
   1.51 0.005738 139.94   12.2
   1.52 0.005744 140.09   12.0
   1.54 0.005750 140.25   11.9
   1.55 0.005759 140.46   12.2
   1.56 0.005763 140.56   12.4
   1.57 0.005770 140.72   12.5
   1.58 0.005774 140.84   12.3
   1.59 0.005783 141.06   12.6
   1.60 0.005789 141.20   12.4
   1.61 0.005790 141.21   12.1
   1.63 0.005792 141.28   11.5
   1.64 0.005797 141.40   11.1
   1.65 0.005805 141.58   10.7
   1.66 0.005812 141.75   10.5
   1.67 0.005818 141.90   10.4
   1.68 0.005824 142.05   10.5
   1.69 0.005831 142.21   10.7
   1.71 0.005832 142.23   10.5
   1.72 0.005839 142.42   10.6
   1.73 0.005845 142.55   10.9
   1.74 0.005849 142.66   11.3
   1.75 0.005852 142.73   11.1
   1.76 0.005856 142.82   10.5
   1.77 0.005859 142.90    9.8
   1.78 0.005864 143.02    9.3
   1.79 0.005870 143.17    9.1
   1.81 0.005872 143.23    8.7
   1.82 0.005878 143.36    8.6
   1.83 0.005883 143.49    8.8
   1.84 0.005888 143.61    8.6
   1.85 0.005895 143.77    8.9
   1.86 0.005902 143.94    9.5
   1.87 0.005906 144.06   10.0
   1.88 0.005908 144.11   10.1
   1.90 0.005911 144.18   10.0
   1.91 0.005910 144.14    9.3
   1.92 0.005910 144.15    8.4
   1.93 0.005916 144.28    7.8
   1.94 0.005920 144.38    7.1
   1.95 0.005922 144.43    6.4
   1.96 0.005924 144.49    5.7
   1.97 0.005929 144.60    5.3
   1.99 0.005936 144.77    5.4
   2.00 0.005934 144.73    5.5
   2.01 0.005936 144.77    5.7
   2.02 0.005935 144.76    5.6
   2.03 0.005946 145.01    6.2
   2.04 0.005956 145.26    6.9
   2.05 0.005957 145.30    7.2
   2.06 0.005958 145.31    7.3
   2.08 0.005960 145.38    7.4
   2.09 0.005962 145.42    7.3
   2.10 0.005972 145.66    7.6
   2.11 0.005976 145.75    7.9
   2.12 0.005977 145.79    8.3
   2.13 0.005979 145.84    8.2
   2.14 0.005985 145.96    7.9
   2.15 0.005988 146.05    7.2
   2.16 0.005990 146.09    6.9
   2.18 0.005990 146.09    6.8
   2.19 0.005991 146.12    6.5
   2.20 0.005997 146.26    6.2
   2.21 0.006002 146.39    6.0
   2.22 0.006002 146.38    5.4
   2.23 0.006005 146.47    5.4
   2.24 0.006010 146.58    5.6
   2.26 0.006017 146.75    6.0
   2.27 0.006010 146.60    5.6
   2.28 0.006018 146.78    5.8
   2.29 0.006026 146.97    6.4
   2.30 0.006031 147.10    7.1
   2.31 0.006035 147.19    7.4
   2.32 0.006038 147.28    7.6
   2.33 0.006040 147.32    7.7
   2.35 0.006045 147.44    8.0
   2.36 0.006048 147.51    8.0
   2.37 0.006045 147.44    7.4
   2.38 0.006047 147.48    6.9
   2.39 0.006046 147.46    6.3
   2.40 0.006046 147.47    4.8
   2.41 0.006046 147.47    3.5
   2.42 0.006046 147.47    2.5
   2.44 0.006045 147.43    1.6
   2.45 0.006056 147.71    1.7
   2.46 0.006055 147.69    1.7
   2.47 0.006056 147.72    1.8
   2.48 0.006062 147.86    2.6
   2.49 0.006068 148.01    3.8
   2.50 0.006073 148.13    4.9
   2.51 0.006080 148.29    6.2
   2.52 0.006086 148.44    7.5
   2.54 0.006091 148.55    8.6
   2.55 0.006092 148.58    9.1
   2.56 0.006087 148.45    8.7
   2.57 0.006090 148.54    7.7
   2.58 0.006087 148.46    7.0
   2.59 0.006086 148.44    5.6
   2.60 0.006092 148.58    4.4
   2.61 0.006097 148.70    3.6
   2.63 0.006104 148.87    3.4
   2.64 0.006108 148.97    3.5
