Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 0.001176  28.68   90.4
   0.01 0.001180  28.78  164.8
   0.02 0.001183  28.86  222.8
   0.03 0.001187  28.94  264.6
   0.04 0.001192  29.06  290.2
   0.06 0.001196  29.17  299.4
   0.07 0.001200  29.26  292.2
   0.08 0.001204  29.37  268.6
   0.09 0.001208  29.46  228.4
   0.10 0.001212  29.56  171.6
   0.11 0.001217  29.67   98.3
   0.12 0.001221  29.77    8.2
   0.13 0.001225  29.87    8.3
   0.14 0.001229  29.97    8.4
   0.16 0.001233  30.07    8.4
   0.17 0.001238  30.18    8.3
   0.18 0.001242  30.28    8.3
   0.19 0.001247  30.40    8.4
   0.20 0.001251  30.50    8.5
   0.21 0.001255  30.60    8.5
   0.22 0.001259  30.71    8.5
   0.23 0.001264  30.82    8.6
   0.24 0.001268  30.93    8.6
   0.26 0.001273  31.04    8.7
   0.27 0.001277  31.13    8.7
   0.28 0.001281  31.24    8.7
   0.29 0.001286  31.36    8.7
   0.30 0.001291  31.47    8.8
   0.31 0.001294  31.56    8.7
   0.32 0.001299  31.67    8.8
   0.33 0.001303  31.78    8.8
   0.34 0.001308  31.90    8.8
   0.36 0.001313  32.02    8.9
   0.37 0.001317  32.12    8.9
   0.38 0.001323  32.25    9.0
   0.39 0.001327  32.36    9.2
   0.40 0.001332  32.48    9.2
   0.41 0.001337  32.59    9.3
   0.42 0.001341  32.71    9.4
   0.43 0.001346  32.82    9.4
   0.44 0.001350  32.93    9.4
   0.45 0.001356  33.06    9.5
   0.47 0.001360  33.17    9.5
   0.48 0.001365  33.29    9.5
   0.49 0.001370  33.40    9.5
   0.50 0.001375  33.52    9.5
   0.51 0.001380  33.65    9.6
   0.52 0.001385  33.77    9.6
   0.53 0.001390  33.90    9.7
   0.54 0.001395  34.02    9.8
   0.55 0.001400  34.14    9.9
   0.57 0.001405  34.25    9.9
   0.58 0.001410  34.38    9.9
   0.59 0.001415  34.50   10.0
   0.60 0.001420  34.62   10.0
   0.61 0.001424  34.73    9.9
   0.62 0.001429  34.86    9.9
   0.63 0.001434  34.98    9.9
   0.64 0.001440  35.10    9.9
   0.66 0.001445  35.23    9.9
   0.67 0.001450  35.36    9.9
   0.68 0.001455  35.48   10.0
   0.69 0.001460  35.60   10.0
   0.70 0.001465  35.73   10.0
   0.71 0.001471  35.86   10.1
   0.72 0.001476  35.99   10.2
   0.73 0.001481  36.12   10.3
   0.74 0.001487  36.25   10.4
   0.76 0.001492  36.38   10.4
   0.77 0.001497  36.51   10.5
   0.78 0.001502  36.63   10.5
   0.79 0.001508  36.77   10.6
   0.80 0.001513  36.89   10.6
   0.81 0.001518  37.01   10.6
   0.82 0.001523  37.15   10.6
   0.83 0.001529  37.29   10.6
   0.84 0.001535  37.42   10.6
   0.85 0.001539  37.53   10.6
   0.87 0.001545  37.68   10.6
   0.88 0.001551  37.82   10.7
   0.89 0.001557  37.96   10.8
   0.90 0.001562  38.09   10.9
   0.91 0.001567  38.20   10.8
   0.92 0.001573  38.35   10.9
   0.93 0.001577  38.45   10.8
   0.94 0.001583  38.60   10.8
   0.96 0.001588  38.73   10.8
   0.97 0.001595  38.89   10.9
   0.98 0.001600  39.01   10.9
   0.99 0.001605  39.13   10.8
   1.00 0.001611  39.28   10.9
   1.01 0.001617  39.43   11.0
   1.02 0.001623  39.58   11.1
   1.03 0.001630  39.74   11.3
   1.04 0.001635  39.87   11.4
   1.06 0.001641  40.01   11.6
   1.07 0.001647  40.16   11.6
   1.08 0.001652  40.30   11.7
   1.09 0.001658  40.44   11.7
   1.10 0.001664  40.57   11.8
   1.11 0.001670  40.71   11.8
   1.12 0.001675  40.85   11.7
   1.13 0.001682  41.02   11.7
   1.15 0.001688  41.16   11.7
   1.16 0.001694  41.30   11.7
   1.17 0.001700  41.45   11.7
   1.18 0.001706  41.59   11.8
   1.19 0.001712  41.75   11.9
   1.20 0.001718  41.90   12.0
   1.21 0.001724  42.03   12.0
   1.22 0.001729  42.16   12.0
   1.23 0.001735  42.32   12.0
   1.25 0.001741  42.45   11.9
   1.26 0.001748  42.62   11.9
   1.27 0.001753  42.75   11.9
   1.28 0.001759  42.90   11.9
   1.29 0.001765  43.03   11.8
   1.30 0.001770  43.17   11.7
   1.31 0.001777  43.33   11.7
   1.32 0.001782  43.46   11.7
   1.33 0.001788  43.61   11.8
   1.35 0.001795  43.76   11.8
   1.36 0.001800  43.88   11.7
   1.37 0.001805  44.03   11.7
   1.38 0.001812  44.19   11.7
   1.39 0.001819  44.36   11.8
   1.40 0.001825  44.50   11.9
   1.41 0.001832  44.66   12.1
   1.42 0.001837  44.81   12.2
   1.44 0.001843  44.93   12.2
   1.45 0.001848  45.07   12.2
   1.46 0.001854  45.22   12.1
   1.47 0.001861  45.38   12.1
   1.48 0.001868  45.55   12.2
   1.49 0.001874  45.70   12.2
   1.50 0.001881  45.88   12.3
   1.51 0.001887  46.02   12.4
   1.53 0.001893  46.15   12.4
   1.54 0.001899  46.31   12.5
   1.55 0.001905  46.46   12.6
   1.56 0.001912  46.63   12.7
   1.57 0.001918  46.78   12.7
   1.58 0.001925  46.93   12.7
   1.59 0.001930  47.07   12.6
   1.60 0.001937  47.23   12.5
   1.62 0.001943  47.37   12.4
   1.63 0.001948  47.50   12.3
   1.64 0.001953  47.63   12.2
   1.65 0.001959  47.78   12.1
   1.66 0.001966  47.94   12.0
   1.67 0.001973  48.11   12.0
   1.68 0.001979  48.26   12.0
   1.69 0.001986  48.42   12.1
   1.71 0.001992  48.58   12.2
   1.72 0.001999  48.74   12.4
   1.73 0.002005  48.90   12.6
   1.74 0.002011  49.05   12.7
   1.75 0.002018  49.21   12.9
