Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 -.000384  -9.36  -29.5
   0.01 -.000107  -2.62  -32.4
   0.02 -.000003  -0.06  -25.7
   0.03 -.000006  -0.15  -19.3
   0.04 -.000006  -0.15  -12.8
   0.05 -.000006  -0.16   -6.2
   0.07 -.000007  -0.17    0.4
   0.08 -.000007  -0.16    7.2
   0.09 -.000005  -0.12   14.1
   0.10 -.000007  -0.17   21.0
   0.11 -.000008  -0.19   28.0
   0.12 -.000007  -0.17   35.1
   0.13 -.000008  -0.19    7.3
   0.14 -.000006  -0.14   -0.4
   0.15 -.000007  -0.17   -0.1
   0.17 -.000006  -0.15   -0.0
   0.18 -.000004  -0.11    0.2
   0.19 -.000010  -0.25   -0.1
   0.20 -.000009  -0.23   -0.4
   0.21 -.000006  -0.15   -0.3
   0.22 -.000008  -0.18   -0.1
   0.23 -.000006  -0.15   -0.1
   0.24 -.000006  -0.15   -0.0
   0.25 -.000007  -0.17   -0.0
   0.27 -.000007  -0.17   -0.1
   0.28 0.000003   0.07    0.8
   0.29 -.000000  -0.01    1.2
   0.30 -.000416 -10.13  -30.4
   0.31 0.000231   5.63   -6.4
   0.32 0.000349   8.52   22.9
   0.33 -.000162  -3.95    8.0
   0.34 -.000505 -12.32  -30.9
   0.35 -.000470 -11.47  -60.3
   0.37 0.000109   2.65  -38.6
   0.38 0.000010   0.25  -26.1
   0.39 0.000012   0.29  -13.7
   0.40 -.000057  -1.39   -6.9
   0.41 -.000017  -0.42    4.6
   0.42 0.000066   1.62   22.5
   0.43 -.000176  -4.30  -17.0
   0.44 0.000039   0.95   15.5
   0.45 0.000274   6.67   79.6
   0.47 -.000060  -1.47   72.5
   0.48 -.000053  -1.30   33.4
   0.49 -.000040  -0.97   -7.9
   0.50 -.000010  -0.25   -0.3
   0.51 -.000008  -0.20    0.2
   0.52 -.000035  -0.86   -1.0
   0.53 -.000037  -0.90   -7.9
   0.54 0.000017   0.40   -7.4
   0.55 0.000001   0.02   -0.9
   0.56 -.000072  -1.76  -21.2
   0.58 0.000061   1.48  -13.2
   0.59 -.000132  -3.21    1.0
   0.60 0.000208   5.06   16.7
   0.61 -.000075  -1.84    7.4
   0.62 -.000001  -0.01    5.5
   0.63 -.000071  -1.74    0.3
   0.64 -.000025  -0.61   -0.4
   0.65 -.000026  -0.63   -3.3
   0.67 -.000030  -0.74   -6.8
   0.68 -.000019  -0.47   -4.8
   0.69 -.000019  -0.47   -3.6
   0.70 -.000025  -0.60   -9.2
   0.71 -.000010  -0.24   -2.3
   0.72 -.000023  -0.57  -12.9
   0.73 -.000008  -0.20    7.0
   0.74 -.000250  -6.09  -14.4
   0.75 0.000080   1.96   -1.2
   0.77 -.000041  -0.99   -4.9
   0.78 0.000084   2.06    4.9
   0.79 0.000773  18.86   66.0
   0.80 0.000037   0.90   58.9
   0.81 -.000010  -0.25   48.3
   0.82 -.000010  -0.24   37.5
   0.83 -.000005  -0.12   26.5
   0.84 -.000013  -0.32   16.0
   0.85 -.000007  -0.16    4.8
   0.87 -.000049  -1.20   -8.6
   0.88 0.000025   0.61  -37.6
   0.89 -.000007  -0.18  -43.0
   0.90 -.000022  -0.54  -59.2
   0.91 -.000007  -0.17  -63.2
   0.92 0.000013   0.31   -1.8
   0.93 -.000006  -0.16    1.8
   0.94 0.000032   0.77    4.7
   0.95 -.000014  -0.35    3.5
   0.97 -.000019  -0.47    2.4
   0.98 -.000037  -0.90   -0.5
   0.99 -.000007  -0.16   -0.3
   1.00 0.000003   0.08   -3.1
   1.01 -.000009  -0.23   -0.8
   1.02 -.000014  -0.34   -1.4
   1.03 -.000012  -0.30   -3.2
   1.04 -.000020  -0.48   -4.2
   1.06 0.000015   0.36   -0.6
   1.07 0.000007   0.17    0.5
   1.08 -.000007  -0.17    3.9
   1.09 -.000007  -0.18    3.7
   1.10 -.000029  -0.71    1.2
   1.11 0.000010   0.24    0.2
   1.12 -.000008  -0.20   -0.1
   1.13 -.000007  -0.16    0.7
   1.14 -.000010  -0.24    0.3
   1.16 -.000008  -0.19   -0.4
   1.17 -.000027  -0.66   -2.5
   1.18 0.000004   0.09   -2.8
   1.19 0.000000   0.01   -0.5
   1.20 -.000010  -0.24    0.6
   1.21 0.000003   0.08    1.5
   1.22 -.000032  -0.77   -0.3
   1.23 -.000004  -0.11   -1.7
   1.24 0.000009   0.23    1.1
   1.26 0.000006   0.16    2.1
   1.27 -.000027  -0.67    0.5
   1.28 -.000010  -0.25    0.1
   1.29 0.000005   0.12    1.1
   1.30 0.000012   0.30    0.8
   1.31 -.000005  -0.11    1.3
   1.32 0.000025   0.61    4.0
   1.33 -.000016  -0.40    2.2
   1.35 -.000255  -6.23  -16.6
   1.36 -.000019  -0.48  -16.9
   1.37 0.000016   0.39  -12.2
   1.38 -.000291  -7.08  -30.0
   1.39 0.000175   4.28   -8.1
   1.40 -.000073  -1.77  -10.8
   1.41 -.000020  -0.49   -7.1
   1.42 -.000009  -0.23   -1.2
   1.44 -.000012  -0.28    5.4
   1.45 -.000016  -0.38   10.6
   1.46 -.000012  -0.29   18.8
   1.47 -.000001  -0.01   24.8
