Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 0.001029  25.08   79.1
   0.01 0.001028  25.06  143.8
   0.02 0.001027  25.03  194.0
   0.04 0.001026  25.01  229.7
   0.05 0.001026  25.01  251.2
   0.06 0.001025  24.99  258.2
   0.07 0.001024  24.96  250.8
   0.08 0.001024  24.96  229.1
   0.09 0.001023  24.95  193.0
   0.10 0.001023  24.94  142.6
   0.11 0.001022  24.92   77.9
   0.12 0.001022  24.91   -1.2
   0.14 0.001021  24.89   -1.2
   0.15 0.001020  24.88   -1.1
   0.16 0.001020  24.87   -1.1
   0.17 0.001020  24.86   -1.1
   0.18 0.001019  24.84   -1.1
   0.19 0.001018  24.83   -1.1
   0.20 0.001018  24.82   -1.1
   0.21 0.001017  24.81   -1.1
   0.22 0.001017  24.80   -1.0
   0.24 0.001017  24.79   -1.0
   0.25 0.001016  24.78   -1.0
   0.26 0.001015  24.76   -1.0
   0.27 0.001015  24.75   -1.0
   0.28 0.001015  24.75   -0.9
   0.29 0.001014  24.74   -0.9
   0.30 0.001014  24.72   -0.9
   0.31 0.001013  24.70   -0.9
   0.32 0.001019  24.85   -0.5
   0.34 0.001034  25.20    1.1
   0.35 0.001063  25.92    4.6
   0.36 0.001087  26.50    9.3
   0.37 0.001135  27.68   16.7
   0.38 0.001183  28.84   26.1
   0.39 0.001209  29.48   35.1
   0.40 0.001219  29.73   42.1
   0.41 0.001221  29.77   46.4
   0.42 0.001221  29.77   47.8
   0.43 0.001214  29.60   45.7
   0.45 0.001209  29.48   40.4
   0.46 0.001205  29.39   32.5
   0.47 0.001201  29.29   23.1
   0.48 0.001197  29.19   13.7
   0.49 0.001193  29.09    4.2
   0.50 0.001188  28.97   -2.7
   0.51 0.001186  28.91   -6.2
   0.52 0.001179  28.76   -7.9
   0.53 0.001178  28.73   -8.3
   0.55 0.001201  29.28   -6.2
   0.56 0.001224  29.86   -2.1
   0.57 0.001227  29.93    1.6
   0.58 0.001245  30.35    6.0
   0.59 0.001396  34.05   21.3
   0.60 0.001516  36.96   42.6
   0.61 0.001633  39.83   68.3
   0.62 0.001744  42.53   95.9
   0.63 0.001848  45.07  123.5
   0.65 0.001947  47.47  149.2
   0.66 0.002040  49.76  170.8
   0.67 0.002129  51.92  187.2
   0.68 0.002213  53.96  198.7
   0.69 0.002293  55.91  204.4
   0.70 0.002368  57.75  201.2
   0.71 0.002439  59.48  189.1
   0.72 0.002508  61.16  179.4
   0.73 0.002573  62.74  169.9
   0.75 0.002633  64.22  161.0
   0.76 0.002691  65.63  152.6
   0.77 0.002747  66.99  144.8
   0.78 0.002800  68.27  137.4
   0.79 0.002849  69.48  130.4
   0.80 0.002896  70.61  123.7
   0.81 0.002940  71.71  117.3
   0.82 0.002983  72.74  111.3
   0.83 0.003023  73.72  105.6
   0.85 0.003061  74.65  100.2
   0.86 0.003097  75.52   95.0
   0.87 0.003131  76.35   90.1
   0.88 0.003164  77.15   85.4
   0.89 0.003195  77.91   81.0
   0.90 0.003224  78.61   76.8
   0.91 0.003251  79.29   72.9
   0.92 0.003278  79.93   69.1
   0.94 0.003302  80.53   65.5
   0.95 0.003325  81.10   62.1
   0.96 0.003348  81.64   58.8
   0.97 0.003370  82.19   55.9
   0.98 0.003391  82.69   53.1
   0.99 0.003410  83.16   50.4
   1.00 0.003428  83.61   47.9
   1.01 0.003446  84.04   45.6
   1.02 0.003463  84.45   43.4
   1.04 0.003478  84.83   41.2
   1.05 0.003494  85.20   39.2
   1.06 0.003508  85.54   37.3
   1.07 0.003521  85.86   35.4
   1.08 0.003533  86.17   33.5
   1.09 0.003546  86.48   31.8
   1.10 0.003557  86.76   30.2
   1.11 0.003568  87.02   28.6
   1.13 0.003579  87.29   27.2
   1.14 0.003589  87.53   25.9
   1.15 0.003599  87.76   24.6
   1.16 0.003608  87.99   23.5
   1.17 0.003617  88.21   22.4
   1.18 0.003625  88.41   21.4
   1.19 0.003633  88.60   20.4
   1.20 0.003640  88.78   19.4
   1.21 0.003648  88.97   18.5
   1.22 0.003655  89.14   17.7
   1.24 0.003662  89.31   16.9
   1.25 0.003668  89.46   16.1
   1.26 0.003674  89.59   15.4
   1.27 0.003679  89.73   14.6
   1.28 0.003685  89.87   14.0
   1.29 0.003690  90.00   13.3
   1.30 0.003695  90.12   12.7
   1.31 0.003700  90.24   12.1
   1.33 0.003704  90.34   11.5
   1.34 0.003709  90.46   11.0
   1.35 0.003714  90.57   10.5
   1.36 0.003718  90.66   10.1
   1.37 0.003722  90.76    9.7
   1.38 0.003725  90.85    9.3
   1.39 0.003729  90.94    8.9
   1.40 0.003733  91.03    8.6
   1.42 0.003736  91.11    8.3
   1.43 0.003740  91.21    8.0
   1.44 0.003743  91.28    7.8
   1.45 0.003747  91.37    7.5
   1.46 0.003750  91.44    7.3
   1.47 0.003753  91.52    7.1
   1.48 0.003760  91.69    7.3
   1.49 0.003763  91.76    7.3
   1.50 0.003765  91.81    7.3
   1.52 0.003767  91.86    7.1
   1.53 0.003769  91.91    6.9
   1.54 0.003771  91.97    6.7
   1.55 0.003774  92.03    6.3
   1.56 0.003775  92.06    6.0
   1.57 0.003778  92.12    5.5
   1.58 0.003780  92.17    5.1
   1.59 0.003782  92.23    4.7
   1.61 0.003784  92.28    4.3
   1.62 0.003785  92.31    4.2
   1.63 0.003787  92.35    4.1
   1.64 0.003788  92.39    4.0
   1.65 0.003790  92.42    3.8
   1.66 0.003792  92.48    3.7
   1.67 0.003794  92.52    3.6
   1.68 0.003795  92.55    3.5
   1.70 0.003796  92.59    3.4
   1.71 0.003798  92.62    3.3
   1.72 0.003799  92.65    3.2
   1.73 0.003801  92.69    3.1
   1.74 0.003803  92.73    3.1
   1.75 0.003804  92.76    3.1
   1.76 0.003805  92.79    3.0
   1.77 0.003806  92.82    2.9
   1.79 0.003807  92.85    2.8
   1.80 0.003808  92.87    2.7
   1.81 0.003809  92.90    2.7
   1.82 0.003810  92.92    2.6
   1.83 0.003812  92.95    2.5
   1.84 0.003813  92.98    2.4
   1.85 0.003814  93.01    2.3
   1.86 0.003815  93.05    2.3
   1.88 0.003816  93.07    2.3
   1.89 0.003817  93.10    2.3
   1.90 0.003819  93.13    2.3
   1.91 0.003819  93.14    2.3
   1.92 0.003821  93.18    2.3
   1.93 0.003822  93.20    2.3
   1.94 0.003822  93.21    2.2
   1.95 0.003823  93.24    2.1
   1.97 0.003824  93.26    2.1
   1.98 0.003825  93.29    2.0
   1.99 0.003827  93.33    2.0
