Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 0.003903  95.19  300.2
   0.01 0.003903  95.19  545.8
   0.02 0.003904  95.20  736.9
   0.03 0.003905  95.22  873.5
   0.04 0.003905  95.24  955.5
   0.05 0.003905  95.24  982.9
   0.07 0.003906  95.26  955.7
   0.08 0.003907  95.28  874.0
   0.09 0.003908  95.30  737.7
   0.10 0.003908  95.31  546.8
   0.11 0.003909  95.32  301.3
   0.12 0.003909  95.34    1.2
   0.13 0.003910  95.36    1.2
   0.14 0.003910  95.37    1.2
   0.15 0.003911  95.38    1.2
   0.17 0.003911  95.38    1.2
   0.18 0.003912  95.39    1.1
   0.19 0.003912  95.41    1.1
   0.20 0.003913  95.42    1.0
   0.21 0.003913  95.42    0.9
   0.22 0.003914  95.44    0.9
   0.23 0.003914  95.44    0.9
   0.24 0.003915  95.46    0.9
   0.25 0.003915  95.47    0.9
   0.27 0.003916  95.49    0.9
   0.28 0.003915  95.49    0.9
   0.29 0.003916  95.50    0.9
   0.30 0.003917  95.51    0.9
   0.31 0.003917  95.54    0.9
   0.32 0.003917  95.54    0.9
   0.33 0.003918  95.54    0.9
   0.34 0.003918  95.56    0.9
   0.35 0.003919  95.56    0.9
   0.37 0.003919  95.58    0.9
   0.38 0.003919  95.57    0.8
   0.39 0.003920  95.59    0.8
   0.40 0.003920  95.60    0.8
   0.41 0.003921  95.62    0.8
   0.42 0.003921  95.62    0.7
   0.43 0.003922  95.64    0.8
   0.44 0.003922  95.65    0.8
   0.45 0.003923  95.67    0.9
   0.47 0.003923  95.68    0.9
   0.48 0.003924  95.70    1.0
   0.49 0.003924  95.71    1.0
   0.50 0.003925  95.72    1.1
   0.51 0.003925  95.73    1.1
   0.52 0.003926  95.74    1.1
   0.53 0.003927  95.76    1.1
   0.54 0.003928  95.78    1.1
   0.55 0.003928  95.79    1.1
   0.57 0.003928  95.80    1.1
   0.58 0.003929  95.82    1.1
   0.59 0.003930  95.83    1.1
   0.60 0.003930  95.84    1.1
   0.61 0.003930  95.85    1.1
   0.62 0.003931  95.87    1.1
   0.63 0.003931  95.88    1.1
   0.64 0.003932  95.89    1.1
   0.65 0.003933  95.91    1.1
   0.67 0.003933  95.92    1.1
   0.68 0.003936  96.00    1.3
   0.69 0.003867  94.30   -3.9
   0.70 0.003791  92.45  -14.1
   0.71 0.003706  90.38  -28.8
   0.72 0.003588  87.50  -49.4
   0.73 0.003390  82.68  -80.5
   0.74 0.003217  78.46 -117.2
   0.75 0.003062  74.66 -155.9
   0.77 0.002880  70.22 -196.4
   0.78 0.002664  64.96 -238.7
   0.79 0.002449  59.73 -279.7
   0.80 0.002241  54.64 -316.0
   0.81 0.002051  50.01 -342.9
