Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 -.000233  -5.68  -17.9
   0.01 0.000021   0.52  -13.0
   0.02 0.000001   0.03   -9.9
   0.04 -.000022  -0.54   -8.7
   0.05 -.000030  -0.73   -7.8
   0.06 -.000191  -4.66  -18.8
   0.07 -.000302  -7.37  -35.7
   0.08 -.000023  -0.57  -26.9
   0.09 0.000004   0.09  -15.8
   0.10 0.000018   0.45   -3.5
   0.11 0.000026   0.62    9.0
   0.12 0.000029   0.71   21.5
   0.14 0.000036   0.87   12.9
   0.15 0.000042   1.02   24.1
   0.16 0.000329   8.03   55.4
   0.17 0.000377   9.18   83.5
   0.18 0.000449  10.94  110.9
   0.19 0.000504  12.29  121.2
   0.20 0.000559  13.62  115.9
   0.21 0.000610  14.87  127.8
   0.22 0.000665  16.20  137.6
   0.24 0.000718  17.50  143.5
   0.25 0.000766  18.67  144.0
   0.26 0.000810  19.76  138.0
   0.27 0.000852  20.78  124.7
   0.28 0.000892  21.76  103.8
   0.29 0.000931  22.71  100.1
   0.30 0.000969  23.62   95.1
   0.31 0.001007  24.54   91.3
   0.32 0.001077  26.26   90.1
   0.34 0.001112  27.11   88.6
   0.35 0.001145  27.93   86.6
   0.36 0.001180  28.77   84.7
   0.37 0.001213  29.59   83.0
   0.38 0.001246  30.38   81.3
   0.39 0.001277  31.13   79.2
   0.40 0.001308  31.90   76.9
   0.41 0.001339  32.64   74.2
   0.42 0.001368  33.36   71.0
   0.43 0.001397  34.07   67.4
   0.45 0.001428  34.81   63.6
   0.46 0.001457  35.53   62.5
   0.47 0.001486  36.24   61.5
   0.48 0.001517  36.99   60.8
   0.49 0.001543  37.63   60.0
   0.50 0.001569  38.26   59.1
   0.51 0.001595  38.88   58.2
   0.52 0.001623  39.58   57.3
   0.53 0.001648  40.19   56.5
   0.55 0.001669  40.71   55.2
   0.56 0.001689  41.19   53.6
   0.57 0.001708  41.65   51.6
   0.58 0.001727  42.11   49.4
   0.59 0.001746  42.57   47.2
   0.60 0.001765  43.05   45.1
   0.61 0.001784  43.50   43.3
   0.62 0.001803  43.97   41.6
   0.64 0.001821  44.39   40.0
   0.65 0.001839  44.84   38.6
   0.66 0.001854  45.21   37.6
   0.67 0.001872  45.66   37.0
   0.68 0.001891  46.10   36.6
   0.69 0.001909  46.56   36.3
   0.70 0.001928  47.01   36.2
   0.71 0.001941  47.33   35.7
   0.72 0.001957  47.71   35.0
   0.73 0.001976  48.17   34.7
   0.75 0.001991  48.56   34.3
   0.76 0.002008  48.97   34.1
   0.77 0.002022  49.30   33.7
   0.78 0.002037  49.68   33.3
   0.79 0.002052  50.04   32.6
   0.80 0.002063  50.31   31.6
   0.81 0.002075  50.60   30.6
   0.82 0.002091  50.98   29.9
   0.83 0.002105  51.33   29.4
   0.85 0.002119  51.68   28.8
   0.86 0.002131  51.97   28.0
   0.87 0.002144  52.28   27.5
   0.88 0.002151  52.45   26.6
   0.89 0.002169  52.90   26.4
   0.90 0.002192  53.45   26.9
   0.91 0.002217  54.07   28.4
   0.92 0.002231  54.40   29.8
   0.94 0.002235  54.51   30.0
   0.95 0.002248  54.83   29.9
   0.96 0.002262  55.16   29.9
   0.97 0.002275  55.47   29.7
   0.98 0.002307  56.25   30.9
   0.99 0.002319  56.56   31.6
   1.00 0.002329  56.80   31.5
   1.01 0.002357  57.49   31.7
   1.02 0.002367  57.71   31.3
   1.04 0.002378  57.98   31.1
   1.05 0.002389  58.26   31.5
   1.06 0.002399  58.50   31.4
   1.07 0.002410  58.76   30.3
   1.08 0.002422  59.05   28.8
   1.09 0.002435  59.37   27.1
   1.10 0.002447  59.67   25.2
   1.11 0.002459  59.96   24.6
   1.13 0.002470  60.24   23.9
   1.14 0.002482  60.54   23.0
   1.15 0.002494  60.81   23.3
   1.16 0.002509  61.19   23.8
   1.17 0.002520  61.46   24.1
   1.18 0.002534  61.80   24.6
   1.19 0.002545  62.07   24.7
   1.20 0.002545  62.06   23.8
   1.21 0.002557  62.37   23.0
   1.23 0.002569  62.65   22.4
   1.24 0.002577  62.85   21.7
   1.25 0.002587  63.09   20.9
   1.26 0.002596  63.32   20.2
   1.27 0.002609  63.63   19.8
   1.28 0.002621  63.92   19.5
   1.29 0.002634  64.23   19.8
   1.30 0.002645  64.50   20.3
   1.31 0.002656  64.77   21.1
   1.33 0.002667  65.04   22.1
   1.34 0.002678  65.32   22.2
   1.35 0.002688  65.55   22.3
   1.36 0.002698  65.79   22.5
