Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 0.004449 108.49  342.2
   0.02 0.004451 108.56  622.3
   0.03 0.004454 108.63  840.5
   0.04 0.004457 108.71  996.6
   0.05 0.004463 108.85 1090.8
   0.06 0.004466 108.91 1122.7
   0.07 0.004468 108.97 1092.5
   0.08 0.004471 109.04  999.9
   0.09 0.004473 109.10  845.0
   0.10 0.004476 109.16  627.7
   0.12 0.004478 109.22  348.1
   0.13 0.004482 109.30    6.0
   0.14 0.004484 109.35    5.9
   0.15 0.004486 109.42    5.7
   0.16 0.004489 109.48    5.4
   0.17 0.004491 109.53    5.2
   0.18 0.004494 109.61    5.2
   0.19 0.004496 109.66    5.2
   0.20 0.004499 109.72    5.1
   0.21 0.004502 109.79    5.1
   0.23 0.004504 109.84    5.1
   0.24 0.004507 109.91    5.1
   0.25 0.004509 109.98    5.1
   0.26 0.004512 110.03    5.1
   0.27 0.004515 110.10    5.1
   0.28 0.004517 110.16    5.1
   0.29 0.004519 110.22    5.1
   0.30 0.004522 110.28    5.1
   0.31 0.004523 110.32    5.0
   0.33 0.004526 110.37    4.9
   0.34 0.004532 110.54    5.2
   0.35 0.004534 110.58    5.4
   0.36 0.004537 110.66    5.5
   0.37 0.004540 110.71    5.6
   0.38 0.004542 110.78    5.7
   0.39 0.004545 110.84    5.7
   0.40 0.004547 110.89    5.7
   0.41 0.004550 110.95    5.7
   0.43 0.004552 111.01    5.6
   0.44 0.004554 111.07    5.5
   0.45 0.004557 111.13    5.2
   0.46 0.004559 111.18    4.9
   0.47 0.004561 111.24    4.8
   0.48 0.004564 111.31    4.8
   0.49 0.004566 111.35    4.8
   0.50 0.004568 111.42    4.7
   0.51 0.004570 111.46    4.7
   0.53 0.004573 111.52    4.7
   0.54 0.004575 111.58    4.6
   0.55 0.004577 111.63    4.6
   0.56 0.004580 111.69    4.6
   0.57 0.004582 111.74    4.6
   0.58 0.004584 111.79    4.5
   0.59 0.004586 111.85    4.5
   0.60 0.004588 111.89    4.4
   0.62 0.004590 111.95    4.4
   0.63 0.004592 111.99    4.4
   0.64 0.004594 112.05    4.3
   0.65 0.004597 112.11    4.3
   0.66 0.004598 112.14    4.3
   0.67 0.004600 112.20    4.2
   0.68 0.004602 112.24    4.1
   0.69 0.004604 112.29    4.1
   0.70 0.004607 112.35    4.1
   0.71 0.004609 112.39    4.1
   0.73 0.004610 112.44    4.1
   0.74 0.004613 112.50    4.1
   0.75 0.004614 112.53    4.0
   0.76 0.004616 112.58    4.0
   0.77 0.004618 112.63    3.9
   0.78 0.004620 112.67    3.9
   0.79 0.004622 112.71    3.9
   0.80 0.004624 112.76    3.8
   0.81 0.004626 112.82    3.8
   0.83 0.004628 112.87    3.8
   0.84 0.004630 112.91    3.8
   0.85 0.004632 112.97    3.9
   0.86 0.004633 113.00    3.9
   0.87 0.004635 113.04    3.9
   0.88 0.004637 113.10    3.9
   0.89 0.004640 113.16    3.9
   0.90 0.004641 113.19    3.9
   0.92 0.004643 113.23    3.9
   0.93 0.004645 113.29    3.8
   0.94 0.004647 113.33    3.8
   0.95 0.004648 113.36    3.7
   0.96 0.004650 113.41    3.7
   0.97 0.004653 113.47    3.7
   0.98 0.004654 113.51    3.8
   0.99 0.004656 113.55    3.7
   1.00 0.004657 113.58    3.6
   1.02 0.004659 113.64    3.6
   1.03 0.004661 113.67    3.6
   1.04 0.004663 113.72    3.6
   1.05 0.004665 113.77    3.6
   1.06 0.004666 113.80    3.6
   1.07 0.004668 113.83    3.5
   1.08 0.004669 113.88    3.5
   1.09 0.004671 113.92    3.4
   1.10 0.004673 113.97    3.4
   1.12 0.004674 114.00    3.4
   1.13 0.004676 114.05    3.4
   1.14 0.004677 114.07    3.3
   1.15 0.004680 114.13    3.3
   1.16 0.004682 114.17    3.3
   1.17 0.004682 114.20    3.3
   1.18 0.004684 114.24    3.3
   1.19 0.004686 114.28    3.3
   1.21 0.004687 114.31    3.2
   1.22 0.004689 114.35    3.2
   1.23 0.004690 114.37    3.1
   1.24 0.004692 114.42    3.1
   1.25 0.004693 114.45    3.0
   1.26 0.004695 114.49    3.0
   1.27 0.004696 114.52    2.9
   1.28 0.004697 114.54    2.8
   1.30 0.004698 114.57    2.8
   1.31 0.004700 114.62    2.8
   1.32 0.004701 114.65    2.7
   1.33 0.004702 114.67    2.7
   1.34 0.004703 114.71    2.7
   1.35 0.004705 114.74    2.7
   1.36 0.004706 114.78    2.6
   1.37 0.004708 114.81    2.6
   1.38 0.004709 114.84    2.7
   1.40 0.004710 114.88    2.7
   1.41 0.004712 114.91    2.7
   1.42 0.004713 114.94    2.7
   1.43 0.004714 114.96    2.7
   1.44 0.004715 114.99    2.6
   1.45 0.004717 115.04    2.7
   1.46 0.004718 115.06    2.6
   1.47 0.004720 115.11    2.6
   1.49 0.004721 115.13    2.6
   1.50 0.004721 115.15    2.6
   1.51 0.004723 115.20    2.6
   1.52 0.004724 115.21    2.5
   1.53 0.004726 115.25    2.5
   1.54 0.004727 115.28    2.5
   1.55 0.004728 115.31    2.6
   1.56 0.004730 115.35    2.5
   1.58 0.004731 115.38    2.5
   1.59 0.004732 115.41    2.5
   1.60 0.004733 115.42    2.5
   1.61 0.004734 115.46    2.5
   1.62 0.004736 115.49    2.5
   1.63 0.004737 115.53    2.5
   1.64 0.004738 115.55    2.5
   1.66 0.004740 115.59    2.5
   1.67 0.004741 115.63    2.5
   1.68 0.004742 115.64    2.5
   1.69 0.004746 115.74    2.7
   1.70 0.004733 115.44    1.8
   1.71 0.004674 114.00   -3.5
   1.72 0.004589 111.91  -14.6
   1.73 0.004509 109.96  -29.7
