Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 -.001273 -31.05  -97.9
   0.01 -.001305 -31.82 -180.5
   0.02 -.001262 -30.76 -241.4
   0.03 -.001268 -30.91 -285.2
   0.05 -.001250 -30.47 -309.9
   0.06 -.001235 -30.11 -316.0
   0.07 -.001249 -30.45 -305.9
   0.08 -.001189 -28.99 -273.7
   0.09 -.001188 -28.96 -224.8
   0.10 -.001179 -28.74 -158.6
   0.11 -.001261 -30.74  -82.2
   0.12 -.001228 -29.93   14.3
   0.13 -.001286 -31.36    7.8
   0.15 -.001256 -30.61    1.0
   0.16 0.001516  36.98  210.5
   0.17 0.007898 192.66  871.7
   0.18 0.011009 268.60 1645.8
   0.19 0.012480 304.51 2363.0
   0.20 0.013254 323.42 2946.7
   0.21 0.013582 331.42 3358.2
   0.22 0.013775 336.16 3578.0
   0.23 0.013787 336.44 3590.2
   0.25 0.013856 338.12 3390.8
   0.26 0.013860 338.21 2983.3
   0.27 0.013868 338.43 2359.9
   0.28 0.013848 337.92 1525.7
   0.29 0.013891 338.98  735.5
   0.30 0.013853 338.04  349.4
   0.31 0.013895 339.08  166.2
   0.32 0.013931 339.95   79.2
   0.33 0.013953 340.51   44.1
   0.34 0.013952 340.47   29.0
   0.36 0.013930 339.94   24.6
   0.37 0.013904 339.29   17.1
   0.38 0.013844 337.84    9.6
   0.39 0.007646 186.50 -474.7
   0.40 0.003040  74.13 %-1225.5
   0.41 0.000901  21.97 %-1991.3
   0.42 -.000224  -5.47 %-2658.4
   0.43 -.000748 -18.24 %-3171.7
   0.44 -.001061 -25.86 %-3501.0
   0.46 -.001114 -27.17 %-3621.9
   0.47 -.001207 -29.43 %-3537.3
   0.48 -.001130 -27.56 %-3234.8
   0.49 -.001183 -28.84 %-2727.3
   0.50 -.001230 -29.99 %-2014.4
   0.51 -.001248 -30.44 %-1096.5
   0.52 -.001229 -29.96 -530.1
   0.53 -.001238 -30.19 -259.0
   0.54 -.001234 -30.09 -122.3
   0.56 -.001221 -29.77  -56.9
   0.57 -.001241 -30.26  -26.7
