Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 0.004237 103.34  325.9
   0.01 0.008373 204.26  910.9
   0.03 0.010365 252.86 1532.0
   0.04 0.011311 275.98 2081.0
   0.05 0.011710 285.72 2502.4
   0.06 0.011974 292.15 2780.4
   0.07 0.012142 296.26 2903.7
   0.08 0.012172 297.00 2859.5
   0.09 0.012250 298.90 2651.0
   0.10 0.012293 299.94 2274.4
   0.11 0.012275 299.52 1724.4
   0.13 0.012252 298.94 1000.9
   0.14 0.012260 299.13  491.8
   0.15 0.012254 298.99  246.0
   0.16 0.012218 298.13  124.4
   0.17 0.012261 299.18   66.3
   0.18 0.012243 298.74   29.9
   0.19 0.012254 298.99   10.7
   0.20 0.012315 300.49    7.6
   0.21 0.012305 300.25    4.1
   0.23 0.004504 109.85 -594.7
   0.24 -.000927 -22.61 %-1498.9
   0.25 -.003577 -87.20 %-2423.4
   0.26 -.004849 %-118.22 %-3226.2
   0.27 -.005524 %-134.66 %-3840.9
   0.28 -.005843 %-142.43 %-4231.9
   0.29 -.006008 %-146.48 %-4385.8
   0.30 -.006083 %-148.30 %-4286.5
   0.31 -.006075 %-148.10 %-3931.6
   0.32 -.006076 %-148.13 %-3319.7
   0.34 -.006078 %-148.18 %-2445.9
   0.35 -.006115 %-149.06 %-1318.6
   0.36 -.006087 %-148.39 -641.2
   0.37 -.006045 %-147.37 -306.1
   0.38 -.006082 %-148.26 -143.1
   0.39 -.006073 %-148.06  -60.1
   0.40 -.006051 %-147.51  -19.4
   0.41 -.006038 %-147.19    0.6
   0.42 -.006034 %-147.10    8.5
   0.44 -.006013 %-146.58   11.7
   0.45 -.006013 %-146.60   14.6
   0.46 0.002121  51.71  641.9
   0.47 0.007399 180.49 1560.6
   0.48 0.009894 241.37 2479.5
   0.49 0.011174 272.61 3275.6
   0.50 0.011780 287.41 3880.8
   0.51 0.012091 295.02 4257.3
   0.52 0.012248 298.86 4392.5
   0.54 0.012363 301.66 4282.3
   0.55 0.012421 303.07 3920.2
   0.56 0.012453 303.85 3302.7
   0.57 0.012487 304.68 2431.1
   0.58 0.012463 304.10 1298.9
   0.59 0.012476 304.42  648.4
   0.60 0.012440 303.54  330.2
   0.61 0.012421 303.08  166.9
   0.63 0.012384 302.17   81.8
