Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   0.00 -.000993 -24.21  -76.3
   0.02 -.000859 -20.94 -128.5
   0.03 -.000952 -23.20 -175.8
   0.04 -.000863 -21.04 -203.0
   0.05 -.000967 -23.57 -226.0
   0.06 -.000870 -21.22 -228.2
   0.07 0.000172   4.19 -138.0
   0.08 0.007408 180.70  506.4
   0.09 0.010707 261.23 1301.2
   0.11 0.012454 303.89 2080.8
   0.12 0.013215 322.47 2744.6
   0.13 0.013689 334.06 3260.2
   0.14 0.013851 338.00 3506.3
   0.15 0.013975 341.03 3566.5
   0.16 0.013988 341.34 3411.7
   0.17 0.013999 341.62 3056.8
   0.18 0.014036 342.52 2487.4
   0.19 0.014000 341.64 1714.0
   0.20 0.014088 343.80  834.0
   0.22 0.013982 341.20  409.0
   0.23 0.014067 343.28  198.7
   0.24 0.014032 342.42   97.6
   0.25 0.014172 345.86   54.6
   0.26 0.014117 344.51   37.0
   0.27 0.014173 345.86   32.5
   0.28 0.014141 345.10   32.2
   0.29 0.014158 345.50   32.1
   0.30 0.007891 192.48 -451.9
   0.32 0.003369  82.16 %-1195.0
   0.33 0.001287  31.38 %-1952.2
   0.34 0.000156   3.80 %-2610.5
   0.35 -.000209  -5.10 %-3111.6
   0.36 -.000534 -13.02 %-3431.3
   0.37 -.000624 -15.20 %-3556.8
   0.38 -.000730 -17.79 %-3472.6
   0.39 -.000844 -20.57 %-3193.6
   0.40 -.000792 -19.32 %-2696.3
   0.42 -.000944 -23.01 %-2004.1
   0.43 -.000820 -19.99 %-1089.7
   0.44 -.000830 -20.23 -536.9
   0.45 -.000677 -16.51 -261.6
   0.46 -.000695 -16.94 -120.3
   0.47 -.000726 -17.69  -56.5
   0.48 -.000732 -17.84  -14.0
   0.49 -.000832 -20.29   -1.4
   0.50 -.000722 -17.60   15.6
   0.52 -.000869 -21.20   13.1
   0.53 -.000706 -17.21   14.7
   0.54 0.006284 153.26  556.7
