Time sec,Strain 1 %,,Time res,,Resistencia
0,-0.4121143,,57289.91,0,0.030284
1,-0.4125845,,57292.3,2.39,0.030354
2,-0.4128771,,57294.7,4.79,0.030345
3,-0.4123827,,57295.91,6,0.030355
4,-0.4124403,,57297.11,7.2,0.030282
5,-0.4125332,,57298.31,8.4,0.030327
6,-0.4121615,,57300.72,10.81,0.030261
7,-0.4125965,,57303.13,13.22,0.030372
8,-0.4125762,,57305.53,15.62,0.030384
9,-0.413377,,57306.73,16.82,0.030286
10,-0.4138042,,57307.94,18.03,0.030414
11,-0.4133328,,57309.14,19.23,0.030278
12,-0.413698,,57311.55,21.64,0.03031
13,-0.4129054,,57312.75,22.84,0.030319
14,-0.4134818,,57313.95,24.04,0.030319
15,-0.4132347,,57315.16,25.25,0.030246
16,-0.4138367,,57316.36,26.45,0.030356
17,-0.4135977,,57318.77,28.86,0.030316
18,-0.4130058,,57319.97,30.06,0.030235
19,-0.4130271,,57321.17,31.26,0.030238
20,-0.413711,,57322.38,32.47,0.030016
21,-0.4130072,,57324.78,34.87,0.030224
22,-0.4144292,,57327.19,37.28,0.030326
23,-0.4134186,,57328.39,38.48,0.030262
24,-0.4127329,,57330.8,40.89,0.030319
25,-0.4143361,,57332,42.09,0.030347
26,-0.4133089,,57334.41,44.5,0.030369
27,-0.4138162,,57335.61,45.7,0.030282
28,-0.4154427,,57338.02,48.11,0.030225
29,-0.4197712,,57339.22,49.31,0.03026
30,-0.4249403,,57340.42,50.51,0.030318
31,-0.432831,,57341.63,51.72,0.030306
32,-0.4403391,,57344.03,54.12,0.03023
33,-0.4495084,,57345.23,55.32,0.030377
33.99,-0.4603532,,57347.64,57.73,0.030438
34.99,-0.4715865,,57348.84,58.93,0.030382
35.988,-0.4846341,,57350.05,60.14,0.03054
36.946,-0.4971552,,57351.25,61.34,0.03026
37.932,-0.5109881,,57352.45,62.54,0.030271
38.91,-0.5253209,,57354.86,64.95,0.030253
39.91,-0.5393039,,57357.27,67.36,0.030341
40.91,-0.5535412,,57359.67,69.76,0.030284
41.91,-0.5674362,,57360.88,70.97,0.030357
42.91,-0.5823308,,57362.08,72.17,0.030499
43.91,-0.5965143,,57363.28,73.37,0.030443
44.91,-0.6120459,,57365.69,75.78,0.030344
45.91,-0.6273162,,57368.09,78.18,0.030451
46.91,-0.6433097,,57369.3,79.39,0.03026
47.91,-0.660313,,57370.5,80.59,0.030313
48.91,-0.6753584,,57371.7,81.79,0.03023
49.91,-0.6922309,,57372.91,83,0.030338
50.91,-0.7091764,,57375.31,85.4,0.030284
51.91,-0.7259278,,57377.72,87.81,0.030373
52.91,-0.7441542,,57380.13,90.22,0.03009
53.91,-0.7629891,,57382.53,92.62,0.029934
54.91,-0.7817536,,57384.94,95.03,0.029829
55.91,-0.801128,,57387.34,97.43,0.029366
56.91,-0.8215536,,57389.75,99.84,0.029064
57.91,-0.8420454,,57392.16,102.25,0.029234
58.91,-0.8628216,,57394.56,104.65,0.029126
59.91,-0.8833996,,57396.97,107.06,0.028859
60.91,-0.904734,,57399.38,109.47,0.028699
61.91,-0.9254859,,57401.78,111.87,0.028459
62.91,-0.9466028,,57404.19,114.28,0.028446
63.91,-0.9682887,,57406.59,116.68,0.028199
64.91,-0.9903583,,57407.8,117.89,0.028091
65.91,-1.012598,,57410.2,120.29,0.027984
66.91,-1.037902,,57412.61,122.7,0.027821
67.91,-1.061871,,57415.02,125.11,0.027812
68.91,-1.086504,,57416.22,126.31,0.027892
69.91,-1.111651,,57417.42,127.51,0.027726
70.91,-1.138908,,57419.83,129.92,0.027771
71.87601,-1.167411,,57422.23,132.32,0.027702
72.87,-1.195215,,57424.64,134.73,0.027832
73.84801,-1.224363,,57425.84,135.93,0.027679
74.78201,-1.251779,,57427.05,137.14,0.027661
75.722,-1.279863,,57429.45,139.54,0.027681
76.664,-1.308358,,57430.66,140.75,0.027618
77.592,-1.337493,,57431.86,141.95,0.027549
78.52001,-1.364828,,57433.06,143.15,0.027593
79.442,-1.393139,,57435.47,145.56,0.027392
80.34801,-1.421556,,57437.88,147.97,0.027358
